admission_id	time_key	location_key	university_key	batch_key	type_key	candidate_key	avg_score	min_score	control_score
31	2014	LOC002	UNI0773	BAT014	TYP019	CAN004	437.0		
32	2014	LOC002	UNI0797	BAT005	TYP019	CAN004	596.0	587.0	
33	2014	LOC001	UNI0753	BAT008	TYP019	CAN004	448.0	443.0	
34	2014	LOC001	UNI0753	BAT008	TYP019	CAN003	454.0	454.0	
35	2014	LOC002	UNI0753	BAT008	TYP019	CAN003	529.0	502.0	
36	2014	LOC002	UNI0753	BAT008	TYP019	CAN004	554.0	504.0	
37	2014	LOC001	UNI0795	BAT005	TYP019	CAN003	557.0		
38	2014	LOC001	UNI0795	BAT005	TYP019	CAN004	552.0		
39	2014	LOC002	UNI0795	BAT005	TYP019	CAN003	593.0		
40	2014	LOC002	UNI0795	BAT005	TYP019	CAN004	574.0		
41	2014	LOC003	UNI0795	BAT005	TYP019	CAN004	478.0		
42	2014	LOC002	UNI0786	BAT008	TYP019	CAN004	531.0		
43	2014	LOC002	UNI0305	BAT005	TYP019	CAN003	593.0		
44	2014	LOC002	UNI0305	BAT005	TYP019	CAN004	591.0		
45	2014	LOC001	UNI0892	BAT008	TYP019	CAN004	439.0		
46	2014	LOC002	UNI2009	BAT008	TYP019	CAN004	448.0		
47	2014	LOC002	UNI0892	BAT008	TYP019	CAN003	526.0		
48	2014	LOC002	UNI0892	BAT008	TYP019	CAN004	490.0		
49	2014	LOC002	UNI2009	BAT008	TYP019	CAN003	499.0		
50	2014	LOC002	UNI0728	BAT008	TYP019	CAN004	468.0		
51	2014	LOC002	UNI0728	BAT008	TYP019	CAN003	523.0		
52	2014	LOC003	UNI1602	BAT008	TYP019	CAN003	439.0	427.0	
53	2014	LOC002	UNI1602	BAT008	TYP019	CAN003	514.0	504.0	
54	2014	LOC003	UNI1602	BAT008	TYP019	CAN004	384.0	368.0	
55	2014	LOC002	UNI1602	BAT008	TYP019	CAN004	459.0	440.0	
56	2014	LOC002	UNI0468	BAT008	TYP019	CAN004	444.0		
57	2014	LOC002	UNI1602	BAT014	TYP019	CAN002	90.0	84.0	
58	2014	LOC002	UNI0768	BAT008	TYP019	CAN004	502.0		
59	2014	LOC002	UNI1339	BAT005	TYP019	CAN004	594.0	587.0	
60	2014	LOC002	UNI1339	BAT005	TYP019	CAN003	604.0	597.0	
61	2014	LOC001	UNI0788	BAT008	TYP019	CAN003	498.0		
62	2014	LOC001	UNI0788	BAT008	TYP019	CAN004	504.0		
63	2014	LOC003	UNI0788	BAT008	TYP019	CAN003	455.0		
64	2014	LOC002	UNI0788	BAT008	TYP019	CAN004	554.0		
65	2014	LOC002	UNI0788	BAT008	TYP019	CAN003	557.0		
66	2014	LOC003	UNI0788	BAT008	TYP019	CAN004	461.0		
67	2014	LOC002	UNI0779	BAT007	TYP019	CAN003	430.0	423.0	
68	2014	LOC002	UNI0779	BAT007	TYP019	CAN004	387.0	365.0	
69	2014	LOC002	UNI0805	BAT005	TYP019	CAN003	597.0		
70	2014	LOC002	UNI0805	BAT005	TYP019	CAN004	569.0		
71	2014	LOC002	UNI0787	BAT008	TYP019	CAN003	547.0		
72	2014	LOC002	UNI0787	BAT008	TYP019	CAN004	520.0		
73	2014	LOC002	UNI0178	BAT008	TYP019	CAN003	518.0		
74	2014	LOC002	UNI0178	BAT008	TYP019	CAN004	454.0		
75	2014	LOC002	UNI0174	BAT008	TYP019	CAN003	533.0		
76	2014	LOC002	UNI0174	BAT008	TYP019	CAN004	503.0		
77	2014	LOC001	UNI0792	BAT008	TYP019	CAN003	490.0		
78	2014	LOC001	UNI0792	BAT008	TYP019	CAN004	483.0		
79	2014	LOC002	UNI0792	BAT008	TYP019	CAN003	565.0		
80	2014	LOC002	UNI0792	BAT008	TYP019	CAN004	541.0		
81	2014	LOC003	UNI0792	BAT008	TYP019	CAN003	458.0		
82	2014	LOC003	UNI0792	BAT008	TYP019	CAN004	470.0		
83	2014	LOC001	UNI0780	BAT008	TYP019	CAN004	442.0		
84	2014	LOC002	UNI0780	BAT008	TYP019	CAN003	489.0		
85	2014	LOC002	UNI0780	BAT008	TYP019	CAN004	473.0		
86	2014	LOC002	UNI0762	BAT005	TYP019	CAN004	569.0	556.0	
87	2014	LOC002	UNI0762	BAT005	TYP019	CAN003	579.0	569.0	
88	2014	LOC002	UNI0758	BAT005	TYP019	CAN004	591.0		
89	2014	LOC002	UNI0758	BAT005	TYP019	CAN003	604.0		
90	2014	LOC002	UNI0181	BAT008	TYP019	CAN004	471.0	462.0	
91	2014	LOC002	UNI0181	BAT008	TYP019	CAN003	495.0	464.0	
92	2014	LOC002	UNI0757	BAT007	TYP019	CAN003	450.0		
93	2014	LOC001	UNI0353	BAT005	TYP019	CAN004	581.0		
94	2014	LOC002	UNI0757	BAT007	TYP019	CAN004	377.0		
95	2014	LOC001	UNI0353	BAT005	TYP019	CAN003	545.0		
96	2014	LOC002	UNI0353	BAT005	TYP019	CAN004	610.0		
97	2014	LOC002	UNI0353	BAT005	TYP019	CAN003	575.0		
98	2014	LOC003	UNI0353	BAT005	TYP019	CAN004	455.0		
99	2014	LOC002	UNI0747	BAT007	TYP019	CAN004	269.0	221.0	
100	2014	LOC002	UNI0747	BAT007	TYP019	CAN003	375.0	335.0	
101	2014	LOC002	UNI0307	BAT007	TYP019	CAN004	423.0	411.0	
102	2014	LOC002	UNI0307	BAT007	TYP019	CAN003	473.0	465.0	
103	2014	LOC002	UNI0806	BAT007	TYP019	CAN003	444.0		
104	2014	LOC002	UNI0806	BAT007	TYP019	CAN004	411.0		
105	2014	LOC002	UNI0129	BAT007	TYP019	CAN003	469.0	461.0	
106	2014	LOC002	UNI0129	BAT007	TYP019	CAN004	418.0	404.0	
107	2014	LOC002	UNI0759	BAT007	TYP019	CAN003	471.0		
108	2014	LOC002	UNI0789	BAT007	TYP019	CAN003	455.0		
109	2014	LOC002	UNI0789	BAT007	TYP019	CAN004	408.0		
110	2014	LOC002	UNI0759	BAT007	TYP019	CAN004	348.0		
111	2014	LOC002	UNI0304	BAT007	TYP019	CAN003	417.0	404.0	
112	2014	LOC002	UNI0774	BAT007	TYP019	CAN004			
113	2014	LOC002	UNI0774	BAT007	TYP019	CAN003			
114	2014	LOC002	UNI0304	BAT007	TYP019	CAN004	362.0	331.0	
115	2014	LOC003	UNI0254	BAT008	TYP019	CAN003	470.0	447.0	
116	2014	LOC002	UNI0760	BAT001	TYP019	CAN003	375.0	298.0	
117	2014	LOC002	UNI0254	BAT008	TYP019	CAN004	468.0	446.0	
118	2014	LOC002	UNI0769	BAT007	TYP019	CAN004	359.0		
119	2014	LOC002	UNI0760	BAT001	TYP019	CAN004	329.0	259.0	
120	2014	LOC002	UNI0254	BAT008	TYP019	CAN003	531.0	514.0	
121	2014	LOC002	UNI0769	BAT007	TYP019	CAN003	420.0		
122	2014	LOC003	UNI0254	BAT014	TYP019	CAN003	326.0		
123	2014	LOC001	UNI0254	BAT008	TYP019	CAN003	512.0	512.0	
124	2014	LOC002	UNI0763	BAT007	TYP019	CAN004	380.0		
125	2014	LOC002	UNI0802	BAT008	TYP019	CAN003	520.0		
126	2014	LOC002	UNI0763	BAT007	TYP019	CAN003	448.0		
127	2014	LOC002	UNI0807	BAT007	TYP019	CAN003	448.0		
128	2014	LOC002	UNI0807	BAT007	TYP019	CAN004	388.0		
129	2014	LOC002	UNI0802	BAT008	TYP019	CAN004	471.0		
130	2014	LOC002	UNI0262	BAT007	TYP019	CAN004	418.0		
131	2014	LOC001	UNI0262	BAT007	TYP019	CAN004		370.0	
132	2014	LOC001	UNI0262	BAT007	TYP019	CAN003		390.0	
133	2014	LOC003	UNI0262	BAT008	TYP019	CAN004	349.0	345.0	
134	2014	LOC002	UNI0262	BAT008	TYP019	CAN004		405.0	
135	2014	LOC002	UNI0262	BAT007	TYP019	CAN003	473.0		
136	2014	LOC003	UNI0262	BAT007	TYP019	CAN003		391.0	
137	2014	LOC003	UNI0262	BAT008	TYP019	CAN003	403.0	391.0	
138	2014	LOC001	UNI0262	BAT008	TYP019	CAN004	386.0	370.0	
139	2014	LOC003	UNI0262	BAT007	TYP019	CAN004		345.0	
140	2014	LOC002	UNI0262	BAT008	TYP019	CAN003		462.0	
141	2014	LOC001	UNI0407	BAT007	TYP019	CAN004	369.0		
142	2014	LOC001	UNI0407	BAT007	TYP019	CAN003	401.0		
143	2014	LOC001	UNI0262	BAT008	TYP019	CAN003	411.0	390.0	
144	2014	LOC002	UNI0407	BAT007	TYP019	CAN003	483.0		
145	2014	LOC002	UNI0407	BAT007	TYP019	CAN004	413.0		
146	2014	LOC003	UNI0407	BAT007	TYP019	CAN003	408.0		
147	2014	LOC003	UNI0407	BAT007	TYP019	CAN004	351.0		
148	2014	LOC002	UNI0808	BAT001	TYP019	CAN003		372.0	
149	2014	LOC002	UNI0808	BAT001	TYP019	CAN004		323.0	
150	2014	LOC002	UNI0782	BAT007	TYP019	CAN003	435.0		
151	2014	LOC002	UNI0079	BAT007	TYP019	CAN004	356.0		
152	2014	LOC002	UNI0782	BAT007	TYP019	CAN004	373.0		
153	2014	LOC002	UNI0079	BAT007	TYP019	CAN003	436.0		
154	2014	LOC002	UNI0130	BAT007	TYP019	CAN003	454.0	440.0	
155	2014	LOC002	UNI0130	BAT007	TYP019	CAN004	391.0	367.0	
156	2014	LOC002	UNI0817	BAT001	TYP019	CAN003	388.0	336.0	
157	2014	LOC002	UNI0817	BAT001	TYP019	CAN004	380.0	296.0	
158	2014	LOC002	UNI0783	BAT008	TYP019	CAN003	536.0		
159	2014	LOC002	UNI0783	BAT008	TYP019	CAN004	460.0		
160	2014	LOC001	UNI0253	BAT005	TYP019	CAN004	539.0		
161	2014	LOC001	UNI0253	BAT005	TYP019	CAN003	541.0		
162	2014	LOC002	UNI0253	BAT005	TYP019	CAN003	562.0		
163	2014	LOC002	UNI0253	BAT005	TYP019	CAN004	535.0		
164	2014	LOC001	UNI0714	BAT008	TYP019	CAN004	497.0		439.0
165	2014	LOC001	UNI0714	BAT008	TYP019	CAN003	506.0		462.0
166	2014	LOC001	UNI0594	BAT008	TYP019	CAN003	482.0		462.0
167	2014	LOC002	UNI0714	BAT005	TYP019	CAN004	529.0		520.0
168	2014	LOC002	UNI0714	BAT005	TYP019	CAN003	555.0		550.0
169	2014	LOC001	UNI0594	BAT008	TYP019	CAN004	464.0		439.0
170	2014	LOC001	UNI0594	BAT005	TYP019	CAN004	509.0		516.0
171	2014	LOC002	UNI0594	BAT008	TYP019	CAN003	516.0		463.0
172	2014	LOC002	UNI0594	BAT008	TYP019	CAN004	474.0		407.0
173	2014	LOC001	UNI0081	BAT008	TYP019	CAN003	486.0		462.0
174	2014	LOC003	UNI0594	BAT008	TYP019	CAN004	388.0		362.0
175	2014	LOC001	UNI0081	BAT005	TYP019	CAN003	523.0		523.0
176	2014	LOC001	UNI0081	BAT005	TYP019	CAN004	526.0		516.0
177	2014	LOC001	UNI0081	BAT008	TYP019	CAN004	474.0		439.0
178	2014	LOC002	UNI0081	BAT005	TYP019	CAN003	555.0		550.0
179	2014	LOC003	UNI0081	BAT005	TYP019	CAN003	472.0		473.0
180	2014	LOC002	UNI0081	BAT005	TYP019	CAN004	533.0		520.0
181	2014	LOC003	UNI0081	BAT005	TYP019	CAN004	433.0		406.0
182	2014	LOC001	UNI0592	BAT005	TYP019	CAN003		523.0	523.0
183	2014	LOC001	UNI0592	BAT005	TYP019	CAN004		538.0	516.0
184	2014	LOC002	UNI0592	BAT005	TYP019	CAN004		539.0	520.0
185	2014	LOC003	UNI0592	BAT005	TYP019	CAN004		406.0	406.0
186	2014	LOC001	UNI0708	BAT008	TYP019	CAN004	452.0		439.0
187	2014	LOC001	UNI0708	BAT008	TYP019	CAN003	479.0		462.0
188	2014	LOC002	UNI0708	BAT008	TYP019	CAN004	445.0		407.0
189	2014	LOC002	UNI0708	BAT008	TYP019	CAN003	515.0		463.0
190	2014	LOC003	UNI0708	BAT008	TYP019	CAN003	441.0		426.0
191	2014	LOC001	UNI0710	BAT008	TYP019	CAN003	487.0		462.0
192	2014	LOC001	UNI0710	BAT005	TYP019	CAN004	577.0		516.0
193	2014	LOC003	UNI0708	BAT008	TYP019	CAN004	415.0		362.0
194	2014	LOC001	UNI0710	BAT008	TYP019	CAN004	506.0		439.0
195	2014	LOC002	UNI0710	BAT008	TYP019	CAN003	509.0		463.0
196	2014	LOC003	UNI0710	BAT008	TYP019	CAN003	442.0		426.0
197	2014	LOC002	UNI0710	BAT008	TYP019	CAN004	520.0		407.0
198	2014	LOC003	UNI0710	BAT008	TYP019	CAN004	413.0		362.0
199	2014	LOC003	UNI0711	BAT008	TYP019	CAN003		429.0	426.0
200	2014	LOC002	UNI0711	BAT008	TYP019	CAN003		504.0	463.0
201	2014	LOC001	UNI0711	BAT001	TYP019	CAN004		269.0	
202	2014	LOC001	UNI0711	BAT001	TYP019	CAN003		300.0	
203	2014	LOC003	UNI0711	BAT001	TYP019	CAN003		366.0	
204	2014	LOC002	UNI0711	BAT008	TYP019	CAN004		476.0	407.0
205	2014	LOC003	UNI0711	BAT001	TYP019	CAN004		316.0	
206	2014	LOC002	UNI0711	BAT001	TYP019	CAN003		406.0	
207	2014	LOC002	UNI0711	BAT001	TYP019	CAN004		394.0	
208	2014	LOC003	UNI0711	BAT008	TYP019	CAN004		370.0	362.0
209	2014	LOC001	UNI1934	BAT008	TYP019	CAN004	481.0		439.0
210	2014	LOC001	UNI1934	BAT008	TYP019	CAN003	469.0		462.0
211	2014	LOC002	UNI1934	BAT008	TYP019	CAN004	482.0		407.0
212	2014	LOC003	UNI1934	BAT008	TYP019	CAN004	393.0		362.0
213	2014	LOC003	UNI1934	BAT008	TYP019	CAN003	422.0		426.0
214	2014	LOC002	UNI1934	BAT008	TYP019	CAN003	466.0		463.0
215	2014	LOC001	UNI0716	BAT008	TYP019	CAN003	489.0		462.0
216	2014	LOC001	UNI0716	BAT008	TYP019	CAN004	465.0		439.0
217	2014	LOC002	UNI0716	BAT008	TYP019	CAN003	506.0		463.0
218	2014	LOC001	UNI0591	BAT008	TYP019	CAN003	488.0		462.0
219	2014	LOC001	UNI0591	BAT008	TYP019	CAN004	482.0		439.0
220	2014	LOC002	UNI0716	BAT008	TYP019	CAN004	447.0		407.0
221	2014	LOC002	UNI0591	BAT008	TYP019	CAN004	425.0		407.0
222	2014	LOC002	UNI0591	BAT008	TYP019	CAN003	493.0		463.0
223	2014	LOC003	UNI0591	BAT008	TYP019	CAN004	380.0		362.0
224	2014	LOC001	UNI0713	BAT008	TYP019	CAN003	470.0		462.0
225	2014	LOC001	UNI0713	BAT008	TYP019	CAN004	442.0		439.0
226	2014	LOC003	UNI0591	BAT008	TYP019	CAN003	441.0		426.0
227	2014	LOC002	UNI0713	BAT008	TYP019	CAN003	488.0		463.0
228	2014	LOC002	UNI0713	BAT008	TYP019	CAN004	460.0		407.0
229	2014	LOC003	UNI0713	BAT008	TYP019	CAN003	465.0		426.0
230	2014	LOC003	UNI0713	BAT008	TYP019	CAN004	381.0		362.0
231	2014	LOC001	UNI0965	BAT008	TYP019	CAN004	433.0		439.0
232	2014	LOC001	UNI0965	BAT008	TYP019	CAN003	458.0		462.0
233	2014	LOC002	UNI0965	BAT008	TYP019	CAN003	474.0		463.0
234	2014	LOC002	UNI0965	BAT008	TYP019	CAN004	416.0		407.0
235	2014	LOC002	UNI1788	BAT008	TYP019	CAN004	424.0		407.0
236	2014	LOC003	UNI1788	BAT008	TYP019	CAN003	429.0		426.0
237	2014	LOC001	UNI0885	BAT008	TYP019	CAN004	438.0		439.0
238	2014	LOC002	UNI0885	BAT008	TYP019	CAN004	438.0		407.0
239	2014	LOC003	UNI1935	BAT008	TYP019	CAN004	369.0		362.0
240	2014	LOC003	UNI1935	BAT008	TYP019	CAN003	436.0		426.0
241	2014	LOC001	UNI0885	BAT008	TYP019	CAN003	462.0		462.0
242	2014	LOC002	UNI1788	BAT008	TYP019	CAN003	473.0		463.0
243	2014	LOC001	UNI0724	BAT008	TYP019	CAN004	511.0		439.0
244	2014	LOC001	UNI0724	BAT008	TYP019	CAN003	513.0		462.0
245	2014	LOC002	UNI0885	BAT008	TYP019	CAN003	476.0		463.0
246	2014	LOC002	UNI0724	BAT005	TYP019	CAN004	543.0		520.0
247	2014	LOC002	UNI0724	BAT005	TYP019	CAN003	563.0		550.0
248	2014	LOC002	UNI0724	BAT008	TYP019	CAN004	489.0		407.0
249	2014	LOC002	UNI0724	BAT008	TYP019	CAN003	516.0		463.0
250	2014	LOC003	UNI0724	BAT005	TYP019	CAN003	483.0		473.0
251	2014	LOC001	UNI0705	BAT008	TYP019	CAN003	494.0		462.0
252	2014	LOC001	UNI0705	BAT008	TYP019	CAN004	464.0		439.0
253	2014	LOC003	UNI0724	BAT005	TYP019	CAN004	451.0		406.0
254	2014	LOC002	UNI0705	BAT008	TYP019	CAN003	526.0		463.0
255	2014	LOC002	UNI0705	BAT008	TYP019	CAN004	443.0		407.0
256	2014	LOC003	UNI0705	BAT008	TYP019	CAN004	376.0		362.0
257	2014	LOC003	UNI0705	BAT008	TYP019	CAN003	447.0		426.0
258	2014	LOC001	UNI0424	BAT008	TYP019	CAN003	450.0		462.0
259	2014	LOC001	UNI0424	BAT008	TYP019	CAN004	429.0		439.0
260	2014	LOC002	UNI0424	BAT008	TYP019	CAN003	477.0		463.0
261	2014	LOC002	UNI0424	BAT008	TYP019	CAN004	432.0		407.0
262	2014	LOC003	UNI0709	BAT007	TYP019	CAN003	392.0		386.0
263	2014	LOC003	UNI0709	BAT007	TYP019	CAN004	339.0		330.0
264	2014	LOC001	UNI0593	BAT007	TYP019	CAN004	379.0		353.0
265	2014	LOC001	UNI0709	BAT007	TYP019	CAN003	361.0		366.0
266	2014	LOC001	UNI0709	BAT007	TYP019	CAN004	346.0		353.0
267	2014	LOC001	UNI0717	BAT007	TYP019	CAN004	364.0		353.0
268	2014	LOC001	UNI0717	BAT007	TYP019	CAN003	355.0		366.0
269	2014	LOC002	UNI0082	BAT007	TYP019	CAN004	380.0		326.0
270	2014	LOC002	UNI0595	BAT007	TYP019	CAN003	440.0		404.0
271	2014	LOC001	UNI0082	BAT007	TYP019	CAN004	369.0		353.0
272	2014	LOC002	UNI0082	BAT007	TYP019	CAN003	416.0		404.0
273	2014	LOC002	UNI0595	BAT007	TYP019	CAN004	342.0		326.0
274	2014	LOC001	UNI0082	BAT007	TYP019	CAN003	383.0		366.0
275	2014	LOC001	UNI0595	BAT007	TYP019	CAN003	401.0		366.0
276	2014	LOC001	UNI0595	BAT007	TYP019	CAN004	376.0		353.0
277	2014	LOC001	UNI0725	BAT007	TYP019	CAN003	420.0		366.0
278	2014	LOC001	UNI0725	BAT007	TYP019	CAN004	407.0		353.0
279	2014	LOC001	UNI0590	BAT008	TYP019	CAN004	455.0		439.0
280	2014	LOC001	UNI0590	BAT008	TYP019	CAN003	476.0		462.0
281	2014	LOC002	UNI0590	BAT008	TYP019	CAN004	437.0		407.0
282	2014	LOC002	UNI0707	BAT008	TYP019	CAN003	491.0	463.0	463.0
283	2014	LOC003	UNI0590	BAT008	TYP019	CAN004	383.0		362.0
284	2014	LOC002	UNI0707	BAT008	TYP019	CAN004	415.0		407.0
285	2014	LOC001	UNI0707	BAT008	TYP019	CAN004	432.0		439.0
286	2014	LOC001	UNI0707	BAT008	TYP019	CAN003	471.0	452.0	462.0
287	2014	LOC001	UNI0316	BAT005	TYP019	CAN003	618.0		523.0
288	2014	LOC002	UNI0316	BAT005	TYP019	CAN003	632.0		550.0
289	2014	LOC001	UNI0316	BAT005	TYP019	CAN004	653.0		516.0
290	2014	LOC002	UNI0316	BAT005	TYP019	CAN004	652.0		520.0
291	2014	LOC003	UNI0316	BAT005	TYP019	CAN004	614.0		406.0
292	2014	LOC001	UNI1606	BAT005	TYP019	CAN003	564.0		523.0
293	2014	LOC001	UNI1606	BAT005	TYP019	CAN004	561.0		516.0
294	2014	LOC003	UNI0316	BAT005	TYP019	CAN003	606.0		473.0
295	2014	LOC003	UNI1606	BAT005	TYP019	CAN004	509.0		406.0
296	2014	LOC002	UNI1606	BAT005	TYP019	CAN003	594.0		550.0
297	2014	LOC001	UNI0076	BAT005	TYP019	CAN004	619.0		516.0
298	2014	LOC002	UNI1606	BAT005	TYP019	CAN004	580.0		520.0
299	2014	LOC002	UNI0076	BAT005	TYP019	CAN004	620.0		520.0
300	2014	LOC001	UNI0076	BAT005	TYP019	CAN003	587.0		523.0
301	2014	LOC003	UNI0076	BAT005	TYP019	CAN004	580.0		406.0
302	2014	LOC001	UNI0336	BAT005	TYP019	CAN004	600.0	593.0	516.0
303	2014	LOC003	UNI1606	BAT005	TYP019	CAN003	525.0		473.0
304	2014	LOC002	UNI0336	BAT005	TYP019	CAN004	597.0	580.0	520.0
305	2014	LOC001	UNI1089	BAT008	TYP019	CAN004	486.0		439.0
306	2014	LOC002	UNI0332	BAT005	TYP019	CAN004	585.0		520.0
307	2014	LOC001	UNI0332	BAT005	TYP019	CAN004	585.0		516.0
308	2014	LOC002	UNI1089	BAT005	TYP019	CAN003	571.0		550.0
309	2014	LOC002	UNI1089	BAT007	TYP019	CAN004	494.0		326.0
310	2014	LOC003	UNI0336	BAT005	TYP019	CAN004	539.0	471.0	406.0
311	2014	LOC003	UNI0332	BAT005	TYP019	CAN004	513.0		406.0
312	2014	LOC001	UNI1089	BAT008	TYP019	CAN003	487.0		462.0
313	2014	LOC002	UNI1089	BAT005	TYP019	CAN004	543.0		520.0
314	2014	LOC003	UNI1089	BAT005	TYP019	CAN004	442.0		406.0
315	2014	LOC003	UNI1089	BAT005	TYP019	CAN003	499.0		473.0
316	2014	LOC001	UNI0320	BAT005	TYP019	CAN003	532.0		523.0
317	2014	LOC001	UNI0320	BAT005	TYP019	CAN004	539.0		516.0
318	2014	LOC002	UNI0320	BAT005	TYP019	CAN004	559.0		520.0
319	2014	LOC002	UNI0320	BAT005	TYP019	CAN003	559.0		550.0
320	2014	LOC001	UNI0738	BAT008	TYP019	CAN004	460.0		439.0
321	2014	LOC001	UNI0738	BAT005	TYP019	CAN004	526.0		516.0
322	2014	LOC001	UNI0738	BAT008	TYP019	CAN003	482.0		462.0
323	2014	LOC002	UNI0738	BAT008	TYP019	CAN003	520.0		463.0
324	2014	LOC002	UNI0738	BAT008	TYP019	CAN004	482.0		407.0
325	2014	LOC001	UNI0341	BAT005	TYP019	CAN003	532.0		523.0
326	2014	LOC003	UNI0738	BAT008	TYP019	CAN003	448.0		426.0
327	2014	LOC001	UNI0341	BAT005	TYP019	CAN004	553.0		516.0
328	2014	LOC003	UNI0738	BAT008	TYP019	CAN004	390.0		362.0
329	2014	LOC002	UNI0341	BAT005	TYP019	CAN003	576.0		550.0
330	2014	LOC003	UNI0341	BAT005	TYP019	CAN003	503.0		473.0
331	2014	LOC002	UNI0341	BAT005	TYP019	CAN004	570.0		520.0
332	2014	LOC003	UNI0341	BAT005	TYP019	CAN004	470.0		406.0
333	2014	LOC001	UNI1238	BAT005	TYP019	CAN004	576.0		516.0
334	2014	LOC001	UNI1238	BAT005	TYP019	CAN003	567.0		523.0
335	2014	LOC002	UNI1238	BAT005	TYP019	CAN004	581.0		520.0
336	2014	LOC002	UNI1238	BAT005	TYP019	CAN003	588.0		550.0
337	2014	LOC002	UNI1238	BAT007	TYP019	CAN004	532.0		326.0
338	2014	LOC003	UNI1238	BAT005	TYP019	CAN004	475.0		406.0
339	2014	LOC001	UNI1066	BAT005	TYP019	CAN003	562.0		523.0
340	2014	LOC001	UNI1066	BAT005	TYP019	CAN004	568.0		516.0
341	2014	LOC002	UNI1066	BAT005	TYP019	CAN004	540.0		520.0
342	2014	LOC001	UNI0329	BAT008	TYP019	CAN003	499.0		462.0
343	2014	LOC003	UNI1066	BAT005	TYP019	CAN004	488.0		406.0
344	2014	LOC001	UNI0329	BAT008	TYP019	CAN004	476.0		439.0
345	2014	LOC002	UNI0329	BAT008	TYP019	CAN003	545.0		463.0
346	2014	LOC002	UNI0329	BAT008	TYP019	CAN004	514.0		407.0
347	2014	LOC001	UNI1077	BAT005	TYP019	CAN004	553.0		516.0
348	2014	LOC003	UNI0329	BAT005	TYP019	CAN003	487.0		473.0
349	2014	LOC001	UNI1077	BAT005	TYP019	CAN003	555.0		523.0
350	2014	LOC003	UNI0329	BAT005	TYP019	CAN004	451.0		406.0
351	2014	LOC002	UNI1077	BAT007	TYP019	CAN004	516.0		326.0
352	2014	LOC002	UNI1077	BAT005	TYP019	CAN004	557.0		520.0
353	2014	LOC002	UNI1077	BAT005	TYP019	CAN003	565.0		550.0
354	2014	LOC001	UNI0310	BAT005	TYP019	CAN004	549.0		516.0
355	2014	LOC003	UNI1077	BAT005	TYP019	CAN004	436.0		406.0
356	2014	LOC001	UNI0310	BAT005	TYP019	CAN003	541.0		523.0
357	2014	LOC002	UNI0310	BAT005	TYP019	CAN004	549.0		520.0
358	2014	LOC003	UNI0310	BAT005	TYP019	CAN004	490.0		406.0
359	2014	LOC003	UNI0310	BAT005	TYP019	CAN003	481.0		473.0
360	2014	LOC001	UNI0367	BAT008	TYP019	CAN003	472.0		462.0
361	2014	LOC001	UNI0367	BAT008	TYP019	CAN004	469.0		439.0
362	2014	LOC002	UNI0367	BAT008	TYP019	CAN003	537.0		463.0
363	2014	LOC002	UNI0367	BAT008	TYP019	CAN004	495.0		407.0
